Frontside,Flipside,Category,Level
"<u>ing</u>yentsim","mystery | riddle | enigma | conundrum","substantive (noun)","0"
"<u>ing</u>yentsyìp","trick | slight of hand | clever methodology | special methodology","substantive (noun)","0"
"<u>ing</u>yenga'","mysterious | puzzling | enigmatic","adjective","0"
"<u>i</u>o","above | over","adposition","0"
"i<u>o</u>ang","animal | beast","substantive (noun)","0"
"i<u>o</u>i","adornment | ceremonial apparel","substantive (noun)","0"
"i<u>o</u>i sä<u>pi</u>","adorn oneself","verb, intransitiv","0"
"i<u>o</u>i si","adorn","verb, intransitiv","0"
"<u>i</u>onar","banshee rider visor","substantive (noun)","0"
"i<u>ra</u>yo","thanks","substantive (noun)","0"
"i<u>ra</u>yo","thank you","interjection","0"
"i<u>ra</u>yo si","thank | give thanks","verb, intransitiv","0"
"ìì","[sound of hesitation] | um, er","other/unknown","0"
"ìlä","by | via | following | according to ([someone])","adposition","0"
"ì<u>ley</u>","[sound of a war cry]","interjection","0"
"<u>ìl</u>va","flake | drop | chip","substantive (noun)","0"
"ì<u>pxa</u>","fern","substantive (noun)","0"
"ì<u>staw</u>","[male name]","proper noun","0"
"ka","across | covering thoroughly","adposition","0"
"ka'ani","[male name]","proper noun","0"
"kak<u>pam</u>","deaf","adjective","0"
"kak<u>rel</u>","blind","adjective","0"
"kali'<u>we</u>ya","species of poisonous arachnid | [Scorpiosista virosae]","substantive (noun)","0"
"ka<u>lin</u>","sweet ([of taste and smell])","adjective","0"
"kal<u>txì</u>","hello","interjection","0"
"kal<u>txì si</u>","say hello | greet","verb, intransitiv","0"
"kal<u>wey</u>aveng","son of a bitch | [lit.]: 'child of a poisonous spider' | ([an insult])","substantive (noun)","0"
"kam","ago","adposition","0"
"<u>ka</u>me","see | see into | understand | know ([spiritual sense])","verb, transitive","0"
"<u>ka</u>mun","[male name]","proper noun","0"
"kan","aim | intend to do","modal verb, transitive","0"
"<u>kan</u>'ìn","focus on | specialize in | be particularly interested in","verb, transitive","0"
"<u>kan</u>fpìl","concentrate | focus one's attention","verb, intransitiv","0"
"<u>ka</u>nom","acquire | get","verb, transitive","0"
"<u>kan</u>tseng","destination","substantive (noun)","0"
"<u>ka</u>nu","smart | intelligent","adjective","0"
"ka<u>ngay</u>","valid","adjective","0"
"ka<u>ngay si</u>","confirm | validate","verb, intransitiv","0"
"kapsavan","the river in the Valley of Mo'ara along which the Shaman of Songs resides | the Na'vi River Journey river.","proper noun","0"
"kar","teach","verb, transitive","0"
"<u>kar</u>yu","teacher","substantive (noun)","0"
"karyu<u>nay</u>","apprentice teacher | ([someone who is one step away from becoming a teacher])","substantive (noun)","0"
"<u>ka</u>to","rhythm","substantive (noun)","0"
"<u>ka</u>van","support ([physically])","verb, transitive","0"
"ka<u>vuk</u>","treachery | betrayal","substantive (noun)","0"
"ka<u>vuk si</u>","betray","verb, intransitiv","0"
"kaw<u>'it</u>","at all | not at all ([together with] ke)","adverb","0"
"<u>kaw</u>krr","never","adverb","0"
"kaw<u>kxan</u>","free | unblocked | unobstructed | clear","adjective","0"
"kawl","hard | diligently","adverb","0"
"kaw<u>no</u>mum","unknown","adjective","0"
"kawng","bad | evil","adjective","0"
"<u>kawng</u>lan","malicious | bad hearted","adjective","0"
"<u>kawng</u>sar","exploit","verb, transitive","0"
"<u>kaw</u>tu","no one | no person","personal pronouns","0"
"<u>kaw</u>tseng","nowhere","adverb","0"
"kay","from now ([future event])","adposition","0"
"kaym","evening (before twilight) | late afternoon","substantive (noun)","0"
"kay<u>mam</u>","yesterday evening","adverb","0"
"kay<u>mam</u>","yesterday evening (the evening yesterday)","substantive (noun)","0"
"kay<u>may</u>","tomorrow evening (the evening tomorrow)","substantive (noun)","0"
"kay<u>may</u>","tomorrow evening","adverb","0"
"kä","go","verb, intransitiv","0"
"kä<u>'ä</u>rìp","push","verb, transitive","0"
"kä<u>mak</u>to","ride out","verb","0"
"kä<u>mu</u>nge","take","verb, transitive","0"
"kä<u>pxì</u>","rear (part) | rear (section)","substantive (noun)","0"
"<u>kä</u>rìp","push | [colloquial form of] kä\'ärìp","verb, transitive","0"
"kä<u>sa</u>tseng","out there","adverb","0"
"kä<u>srìn</u>","lend","verb, transitive","0"
"<u>kä</u>teng","spend time with | hang out with","verb, intransitiv","0"
"ke","not","adverb","0"
"ke ? nul<u>krr</u>","no longer | not any longer","other/unknown","0"
"ke<u>'aw</u>","divided | torn apart | striferidden","adjective","0"
"<u>ke</u>'u","not a thing | nothing at all","personal pronouns","0"
"<u>ke</u>a","no ([before a noun])","adjective","0"
"kefpom<u>ro</u>nga'","(mentally) unhealthful","adjective","0"
"kefpom<u>tokx</u>nga'","(physically) unhealthful","adjective","0"
"ke<u>ftxo</u>","unhappy | upset | 'How sad!'","adjective","0"
"ke<u>fyak</u>","isn't it? | right?","particle","0"
"<u>ke</u>he","no","interjection","0"
"<u>ke</u>kem","no action | no activity | nothing","substantive (noun)","0"
"<u>ke</u>kem ke si","do nothing","verb, intransitiv","0"
"<u>ke</u>kunan","[clan name]","proper noun","0"
"kelem<u>wey</u>pey","impatient","adjective","0"
"kelfpom<u>ron</u>","(mentally) unhealthy","adjective","0"
"kelfpom<u>tokx</u>","(physically) unhealthy","adjective","0"
"kel<u>ho</u>an","uncomfortable","adjective","0"
"kel<u>kin</u>","unnecessary","adjective","0"
"<u>kel</u>ku","home | house","substantive (noun)","0"
"<u>kel</u>ku si","live | dwell","verb, intransitiv","0"
"kel<u>pxìm</u>run","rare","adjective","0"
"kel<u>sar</u>","useless | in vain","adjective","0"
"kel<u>trr</u>trr","unusual","adjective","0"
"kel<u>tsun</u>","impossible","adjective","0"
"<u>kel</u>utral","Hometree | [spiritual and physical home of the Omaticaya clan]","substantive (noun)","0"
"kem","action | activity","substantive (noun)","0"
"kem si","do","verb, intransitiv","0"
"<u>kem</u>lì'u","verb","substantive (noun)","0"
"<u>kem</u>lì'uvi","infix","substantive (noun)","0"
"<u>kem</u>pe","what? | what (action)? | which action?","interrogation pronouns","0"
"ke<u>mu</u>ia","dishonor | dishonour","substantive (noun)","0"
"ke<u>mu</u>ia si","dishonor (s.t./s.o.)","verb, intransitiv","0"
"ke<u>mu</u>ianga'","dishonorable","adjective","0"
"kem<u>wi</u>ä","improper | unfair | wrong | unjustified","adjective","0"
"ken<u>'aw</u>","not only ([used with:] släkop)","adverb","0"
"<u>ke</u>nong","model | represent | exemplify","verb","0"
"<u>ken</u>ten","fan lizard | [Fanisaurus pennatus]","substantive (noun)","0"
"ken<u>zen</u>","not necessarily","adverb","0"
"keng","even | so much as","adverb","0"
"<u>ke</u>rusey","dead","adjective","0"
"ke<u>sran</u>","so-so | mediocre","adjective","0"
"<u>ke</u>teng","different","adjective","0"
"<u>ket</u>rìp","unfortunate | inauspicious","adjective","0"
"<u>ke</u>tuwong","alien","substantive (noun)","0"
"ke<u>tsran</u>","no matter (who, when, where) | whatever (whoever, whenever)","adjective","0"
"ke<u>tsran</u>","no matter | no matter what | whatever","conjunction","0"
"ketsuk","not able to | unable to | [productive verb prefix]","prefix","0"
"ketsuk<u>ti</u>am","uncountable | infinite | ([for countable nouns])","adjective","0"
"kew","zero","numeral","0"
"<u>ke</u>wan","age ([of living things])","substantive (noun)","0"
"<u>ke</u>wong","alien | foreign","adjective","0"
"key","face","substantive (noun)","0"
"ke<u>yawr</u>","incorrect | not right | wrong","adjective","0"
"ke<u>ye</u>'ung","insanity","substantive (noun)","0"
"key<u>kur</u>","hang ([on, onto]) | let hang","verb, transitive","0"
"keyn","put down","verb, transitive","0"
"keyn<u>ven</u>","step","verb, intransitiv","0"
"<u>key</u>rel","facial expression","substantive (noun)","0"
"kezempll<u>txe</u>","of course | needless to say","adverb","0"
"ki","but rather | but instead","conjunction","0"
"ki<u>fkey</u>","world ([physical])","substantive (noun)","0"
"kil<u>van</u>","river","substantive (noun)","0"
"kin","need (something)","verb, transitive","0"
"ki<u>nam</u>","leg","substantive (noun)","0"
"ki<u>nam</u>til","knee","substantive (noun)","0"
"<u>ki</u>nä","seven","numeral","0"
"<u>kin</u>trr","week","substantive (noun)","0"
"kintrr<u>am</u>","last week","substantive (noun)","0"
"kintrr<u>ay</u>","next week","substantive (noun)","0"
"kip","among","adposition","0"
"<u>ki</u>ve","seventh ([ordinal])","numeral","0"
"kì<u>'ong</u>","slow","adjective","0"
"kìm","spin","verb, transitive","0"
"kì<u>mar</u>","in season ([of foods, vegetable or animal])","adjective","0"
"kìng","thread","substantive (noun)","0"
"kìte<u>'e</u>","service","substantive (noun)","0"
"kìte<u>'e si</u>","serve","verb, intransitiv","0"
"kìye<u>va</u>me","good-bye | see you again soon","idiom","0"
"kll<u>fro'</u>","be responsible","verb, intransitiv","0"
"kll<u>kä</u>","go down | descend","verb, intransitiv","0"
"kll<u>ku</u>lat","dig up","verb, transitive","0"
"kll<u>kxem</u>","stand","verb, intransitiv","0"
"<u>kll</u>pa","bottom | bottom side","substantive (noun)","0"
"kll<u>pä</u>","land | reach the ground","verb, intransitiv","0"
"kll<u>pxi</u>wll","lionberry | ([artichoke-like Pandoran fruit) | [Cynaroidia decumbens]","substantive (noun)","0"
"kll<u>pxìl</u>tu","territory | area","substantive (noun)","0"
"kll<u>rikx</u>","earthquake","substantive (noun)","0"
"<u>kll</u>te","ground","substantive (noun)","0"
"<u>kll</u>tseng","position","substantive (noun)","0"
"kll<u>txay</u>","lie (on the ground) | lie flat","verb, intransitiv","0"
"klltxey<u>kay</u>","lay (something on the ground)","verb, transitive","0"
"<u>kll</u>vawm","brown","adjective","0"
"kll<u>wo</u>","alight | land ([process]) | approach for landing ([aviation])","verb, intransitiv","0"
"kll<u>yem</u>","bury","verb, transitive","0"
"kll<u>za</u>'u","come down | descend","verb, intransitiv","0"
"ko","([solicit agreement]) | let's ...","particle","0"
"<u>ko</u>'on","ring | oval | closed shaped (roughly circular)","substantive (noun)","0"
"<u>ko</u>ak","old | aged ([for living things])","adjective","0"
"<u>ko</u>aktan","old man","substantive (noun)","0"
"<u>ko</u>akte","old woman","substantive (noun)","0"
"<u>ko</u>aktu","old person","substantive (noun)","0"
"ko<u>ak</u>tutral","goblin thistle | [cobalus carduus]","proper noun","0"
"ko<u>lan</u>","I mean... | rather | ([self-correction])","phrase","0"
"kom","dare","modal verb, intransitive","0"
"kop","too | also | additionally | ([extends a given information compare] nìteng)","adverb","0"
"kop","and also","conjunction","0"
"ko<u>ren</u>","rule | guideline | law","substantive (noun)","0"
"ko<u>ren a</u>yll","law | societal rule","substantive (noun)","0"
"ko<u>sman</u>","wonderful | terrific | fantastic","adjective","0"
"<u>ko</u>um","rounded | curved","adjective","0"
"krr","time","substantive (noun)","0"
"<u>krr</u>a","when | at the time that | ([introduces a subordinate clause])","conjunction","0"
"<u>krr</u>ka","during","adposition","0"
"krr<u>nekx</u>","take time | consume time","verb, intransitiv","0"
"<u>krr</u>o","some time","adverb","0"
"<u>krr</u>o krro","at times | on occasion","adverb","0"
"<u>krr</u>pe","when? | what (time)?","interrogation pronouns","0"
"<u>ku'</u>up","heavy ([physical weight])","adjective","0"
"<u>ku</u>lat","reveal | bring forth | uncover ([literally and metaphorically])","verb, transitive","0"
"kum","result","substantive (noun)","0"
"<u>kum</u>a","that (as a result) | [(introduces the result clause)]","conjunction","0"
"<u>kun</u>sìp","gunship","substantive (noun)","0"
"kung","putrid | fetid | rotten","adjective","0"
"kur","hang ([from])","verb, intransitiv","0"
"ku<u>rakx</u>","drive out | send someone flee","verb, transitive","0"
"<u>kur</u>fyan","hamper | suspended rack","substantive (noun)","0"
"<u>kur</u>fyavi","hook (for hanging or suspending an item)","substantive (noun)","0"
"<u>kur</u>kung","asshole | ([a very strong insult, vulgar])","substantive (noun)","0"
"<u>ku</u>ru","neural queue","substantive (noun)","0"
"kxa","mouth","substantive (noun)","0"
"kxakx","break | snap in two","verb, intransitiv","0"
"kxam","middle | midpoint","substantive (noun)","0"
"<u>kxam</u>lä","through | via the middle of","adposition","0"
"<u>kxam</u>trr","midday | noon","substantive (noun)","0"
"<u>kxam</u>trrmaw","the time immediately after noon | early afternoon","substantive (noun)","0"
"<u>kxam</u>tseng","center | place in the middle","substantive (noun)","0"
"<u>kxam</u>txomaw","after midnight","substantive (noun)","0"
"<u>kxam</u>txon","midnight","substantive (noun)","0"
"<u>kxam</u>yì","intermediate level | ([for language or any ability])","substantive (noun)","0"
"<u>kxa</u>nì","forbidden","adjective","0"
"<u>kxang</u>angang","boom! ([onomatopoeic])","interjection","0"
"<u>kxa</u>nge","yawn","verb, intransitiv","0"
"kxap","threat","substantive (noun)","0"
"kxap si","threaten","verb, intransitiv","0"
"<u>kxap</u>nga'","threatening","adjective","0"
"<u>kxawm</u>","perhaps | maybe","adverb","0"
"kxayl","high ([of height])","adjective","0"
"<u>kayl</u>te","cillaphant | [Clawenia purpurea]","substantive (noun)","0"
"<u>kxayl</u>yì","high level | ([for language or any ability])","substantive (noun)","0"
"<u>kxä</u>näng","rotting | putrid | ([smell of decaying animal/flesh])","adjective","0"
"<u>kxel</u>tek","pick up | lift","verb, transitive","0"
"kxem","be vertical","verb, intransitiv","0"
"<u>kxem</u>yo","wall | vertical surface","substantive (noun)","0"
"<u>kxe</u>ner","smoke","substantive (noun)","0"
"<u>kxe</u>tse","tail","substantive (noun)","0"
"<u>kxe</u>yey","error | fault | mistake","substantive (noun)","0"
"kxitx","death","substantive (noun)","0"
"kxì","hi | hiya | ([a more casual greeting than] kaltxì, [used among friends])","interjection","0"
"kxìm","command | order | assign a task","verb, transitive","0"
"<u>kxìm</u>yu","commander | one with authority over another","substantive (noun)","0"
"kxll","charge | (running) attack","substantive (noun)","0"
"kxll si","charge | attack","verb, intransitiv","0"
"kxor","waterfall | ([a wall or bank of powerful waterfalls noted for its deafening roar and deadly force]) | ([countable, but only rarely])","substantive (noun)","0"
"kxu","(physical) harm","substantive (noun)","0"
"kxu si","harm","verb, intransitiv","0"
"<u>kxu</u>ke","safe","adjective","0"
"kxukx","swallow","verb, transitive","0"
"kxum","viscous | gelatinous | thick","adjective","0"
"<u>kxum</u>pay","viscous liquid | gel","substantive (noun)","0"
"<u>kxu</u>tu","enemy","substantive (noun)","0"
"<u>kxu</u>tslu","risk","substantive (noun)","0"
"<u>la</u>'a","physical separation | distance between two places or objects","substantive (noun)","0"
"<u>la</u>'ang","pile of stinking, rotting animal matter","substantive (noun)","0"
"<u>la</u>'ape","how near? | how far? | what distance?","interrogation pronouns","0"
"<u>la</u>'um","pretend | ([used with] tsnì)","verb, intransitiv","0"
"la<u>fyon</u>","wise","adjective","0"
"<u>la</u>he","another | other | else","adjective","0"
"lal","old","adjective","0"
"lam","seem | appear","verb, intransitiv","0"
"lam oer","it seems to me","other/unknown","0"
"lamay<u>txa</u>","flood | powerful gathering of water","substantive (noun)","0"
"lan","resin","substantive (noun)","0"
"la<u>nay'</u>ka","slinger | [Acediacutus xenoterribili]","substantive (noun)","0"
"<u>la</u>nutral","dandetiger | [candea inflata]","proper noun","0"
"lang","investigate | explore","verb, transitive","0"
"<u>la</u>po","other one ([person or thing])","personal pronouns","0"
"<u>la</u>ro","clean","adjective","0"
"<u>la</u>ro si","clean | make free of dirt","verb, intransitiv","0"
"<u>la</u>tem","change","verb, intransitiv","0"
"la<u>tsi</u>","keep up with someone","verb","0"
"law","clear | certain","adjective","0"
"law si","make clear | clarify | ([allows double dative])","verb, intransitiv","0"
"lawk","discourse on | talk about | say something concerning ([person, situation, etc.])","verb, transitive","0"
"<u>law</u>nol","great joy","substantive (noun)","0"
"lawr","melody","substantive (noun)","0"
"la<u>yom</u>pin","([the color]) black","substantive (noun)","0"
"la<u>yon</u>","black","adjective","0"
"lä<u>txayn</u>","defeat (in battle) | conquer","verb, transitive","0"
"le<u>'al</u>","wasteful ([not for people])","adjective","0"
"le<u>'aw</u>","only | sole","adjective","0"
"le<u>'aw</u>tu","alone | on one's own | lone | by oneself | lonely","adjective","0"
"le<u>'en</u>","speculative | intuitive","adjective","0"
"lefkeyto<u>ngay</u>","real","adjective","0"
"le<u>fkrr</u>","current","adjective","0"
"le<u>fne</u>lan","male","adjective","0"
"le<u>fne</u>le","female","adjective","0"
"le<u>fngap</u>","metallic","adjective","0"
"le<u>fpom</u>","happy | peaceful | joyous | pleasant","adjective","0"
"lefpom<u>ron</u>","(mentally) healthy","adjective","0"
"lefpom<u>tokx</u>","(physically) healthy","adjective","0"
"le<u>frir</u>","layered","adjective","0"
"le<u>ftxo</u>zä","celebratory","adjective","0"
"le<u>hawm</u>pam","noisy","adjective","0"
"le<u>hawng</u>","excessive","adjective","0"
"le<u>hawng</u>krr","late","adjective","0"
"le<u>hì</u>pey","hesitant | in a state of hesitation","adjective","0"
"le<u>ho</u>an","comfortable","adjective","0"
"le<u>hrr</u>ap","dangerous | hazardous","adjective","0"
"leio<u>a</u>e","respect","substantive (noun)","0"
"leio<u>a</u>e si","respect (someone)","verb, intransitiv","0"
"lek","heed | obey","verb, transitive","0"
"le<u>kin</u>","necessary","adjective","0"
"leko<u>ren</u>","lawlike | regarding rules","adjective","0"
"lek<u>ye</u>'ung","insane | crazy","adjective","0"
"le<u>kxan</u>","blocked | obstructed | frustrated","adjective","0"
"le<u>kxu</u>tslu","risky","adjective","0"
"le<u>lì'</u>fya","concerning language | regarding language","adjective","0"
"lem<u>rey</u>","surviving ([of entities from a group some of whom have died])","adjective","0"
"lem<u>wey</u>pey","patient","adjective","0"
"len","happen | occur","verb, intransitiv","0"
"le<u>na'</u>vi","having to do with the Na'vi | having to do with the People","adjective","0"
"le<u>no</u>","thorough | detail-oriented ([of a person])","adjective","0"
"le<u>no</u>mum","curious","adjective","0"
"le<u>nrr</u>a","proud | ([feeling of pride one has in others])","adjective","0"
"le<u>pay</u>","watery","adjective","0"
"lep<u>wopx</u>","cloudy","adjective","0"
"le<u>pxìm</u>run","common | often found","adjective","0"
"ler","steady | smooth | ([for motion])","adjective","0"
"le<u>rey</u>fya","cultural","adjective","0"
"le<u>rìk</u>","leafy","adjective","0"
"le<u>rìn</u>","wooden | of wood","adjective","0"
"le<u>ron</u>srel","imaginary","adjective","0"
"<u>ler</u>tu","colleague | co-worker","substantive (noun)","0"
"le<u>sar</u>","useful","adjective","0"
"le<u>sar si</u>","be useful | be of use | come in handy","verb, intransitiv","0"
"le<u>skxir</u>","wounded","adjective","0"
"lesno<u>nrr</u>a","full of self-pride | arrogant","adjective","0"
"le<u>sngä</u>'i","original | existing at the start | existing from the start | first in a series","adjective","0"
"le<u>so'</u>ha","enthusiastic | keen","adjective","0"
"le<u>tam</u>","sufficient | enough","adjective","0"
"le<u>tokx</u>","bodily | physical","adjective","0"
"le<u>trr</u>","daily","adjective","0"
"le<u>trr</u>trr","ordinary","adjective","0"
"let<u>wan</u>","dodgy | sneaky ([of a person])","adjective","0"
"le<u>tsak</u>tap","violent","adjective","0"
"le<u>tsim</u>","original | unique | not derived from another source","adjective","0"
"le<u>tskxe</u>","stony | of stone","adjective","0"
"le<u>tsran</u>ten","important","adjective","0"
"le<u>tsun</u>slu","possible","adjective","0"
"le<u>tswal</u>","powerful","adjective","0"
"le<u>txi</u>","hurried | frenzied","adjective","0"
"le<u>txi</u>luke","unhurried","adjective","0"
"lew","cover | lid","substantive (noun)","0"
"lew sä<u>pi</u>","cover oneself","verb, intransitiv","0"
"lew si","cover","verb, intransitiv","0"
"lewä<u>te</u>","disagreeable | argumentative ([of an agent])","adjective","0"
"lewe<u>opx</u>","wave-like","adjective","0"
"ley","be of value | have some positive value | be worth something","verb, intransitiv","0"
"le<u>ya</u>pay","foggy | misty","adjective","0"
"le<u>ye'</u>krr","early","adjective","0"
"le<u>yew</u>la","disappointing","adjective","0"
"ley<u>kek</u>","enforce","verb, transitive","0"
"ley<u>kek</u>yu","law enforcer | police officer | [shortened form of:] horenleykekyu","substantive (noun)","0"
"leym","call out | cry out | exclaim","verb, intransitiv","0"
"leym<u>fe'</u>","complain ([used with] tsnì [for the subordinate clause])","verb, intransitiv","0"
"leym<u>kem</u>","protest ([used with] tsnì [for the subordinate clause])","verb, intransitiv","0"
"leyn","repeat | do again","verb, transitive","0"
"leyr","frozen","adjective","0"
"leyr si","freeze (s.t.)","verb, intransitiv","0"
"le<u>ze</u>swa","grassy","adjective","0"
"li","already","adverb","0"
"<u>li</u>e","experience","substantive (noun)","0"
"<u>li</u>e si","experience","verb, intransitiv","0"
"<u>li</u>ni","young ([of an animal, bird, fish, insect])","substantive (noun)","0"
"lipx","drip","verb, intransitiv","0"
"<u>li</u>sre","by | before | up to but not after","adposition","0"
"li<u>swa</u>","nourishment","substantive (noun)","0"
"li<u>swa si</u>","nourish | provide nourishment","verb, intransitiv","0"
"litx","(blade) sharp","adjective","0"
"<u>lì'</u>fya","language","substantive (noun)","0"
"<u>lì'</u>fyao<u>lo'</u>","language group | language users","substantive (noun)","0"
"<u>lì'</u>fyavi","expression | bit of language | phrase","substantive (noun)","0"
"<u>lì'</u>kong","syllable","substantive (noun)","0"
"lì'ona","[name of a clan]","proper noun","0"
"<u>lì</u>'u","word","substantive (noun)","0"
"<u>lì</u>'ukìng","sentence | ([string of words])","substantive (noun)","0"
"<u>lì</u>'ukìngvi","phrase","substantive (noun)","0"
"<u>lì</u>'upam","accent | pronunciation","substantive (noun)","0"
"<u>lì</u>'upe","what? | what (word)? | what (utterance)?","interrogation pronouns","0"
"<u>lì</u>'upuk","dictionary","substantive (noun)","0"
"<u>lì</u>'uvan","pun | wordplay","substantive (noun)","0"
"<u>lì</u>'uvi","affix","substantive (noun)","0"
"<u>lìk</u>tap","crooked","adjective","0"
"lìm","far | be far","verb, intransitiv","0"
"<u>lìm</u>simpe","how far? | how near?","interrogation pronouns","0"
"lìng","float in the air | hover","verb, intransitiv","0"
"<u>lo</u>'a","totem | amulet","substantive (noun)","0"
"<u>lo</u>'ak","[male name]","proper noun","0"
"lo'a<u>kur</u>","Toruk Makto Amulet | ([sacred item in the legend of the first Toruk Makto])","proper noun","0"
"<u>lo</u>ak","[male name]","proper noun","0"
"<u>lo</u>ho","be surprised","verb, intransitiv","0"
"<u>lo</u>i","egg","substantive (noun)","0"
"lok","near to | close to","adposition","0"
"lok","approach | arrive ([at a place])","verb, transitive","0"
"lom","missing | missed ([as an absent person who is longed for]) | ([only something you once had but no longer do, emotional loss])","adjective","0"
"<u>lom</u>tu","missed person | ([reserved for special circumstances, e.g. toasts])","substantive (noun)","0"
"lonataya","medusa ([animal]) | [unofficial word! – see] fpxafaw","substantive (noun)","0"
"lo<u>nu</u>","release | let go","verb, transitive","0"
"lo<u>nu</u>sye","exhale | blow","verb, intransitiv","0"
"lopx","panic","verb, intransitiv","0"
"lor","beautiful | pleasant to the senses","adjective","0"
"<u>lo</u>ran","elegance | grace","substantive (noun)","0"
"lo<u>re</u>yu","helicoradian | beautiful spiral | [helicoradium spirale]","substantive (noun)","0"
"<u>lor</u>tsyal","shimmyfly","proper noun","0"
"<u>lrr</u>tok","smile","substantive (noun)","0"
"<u>lrr</u>tok si","smile","verb, intransitiv","0"
"lu","be | ([used with the dative to form the verb] have)","verb, intransitiv","0"
"<u>lu</u>ke","without","adposition","0"
"luk<u>pen</u>","without clothing | naked","adjective","0"
"<u>lum</u>pe","why? | what reason?","interrogation pronouns","0"
"lun","reason","substantive (noun)","0"
"<u>lup</u>ra","style","substantive (noun)","0"
"ma","O ([vocative marker]) | Dear …","particle","0"
"ma<u>i</u>tan","my son","phrase","0"
"ma<u>i</u>te","my daughter","phrase","0"
"<u>mak</u>to","ride","verb, transitive","0"
"mal","trustworthy | trustinspiring","adjective","0"
"mam","wrap","verb, transitive","0"
"maru","[female name]","proper noun","0"
"<u>ma</u>sat","breastplate ([armor])","substantive (noun)","0"
"<u>ma</u>tsa","Matzo | Matzah | ([unleavened bread])","substantive (noun)","0"
"<u>ma</u>uti","fruit","substantive (noun)","0"
"maw","after ([temporal])","adposition","0"
"ma<u>wey</u>","calm","adjective","0"
"ma<u>wey</u>pey","be patient","verb, intransitiv","0"
"ma<u>wey</u>peyyu","one who is patient | patient person","substantive (noun)","0"
"maw<u>ftxe</u>le","belatedly | in hindsight | after the fact | as an afterthought","adverb","0"
"<u>maw</u>fwa","after ([with subordinate clause after main clause])","conjunction","0"
"<u>maw</u>krr","after | afterwards | later","adverb","0"
"maw<u>krr</u>a","after ([with subordinate clause after main clause])","conjunction","0"
"mawl","half","substantive (noun)","0"
"<u>ma</u>wup","turtapede | [six finned aquatic creature]","substantive (noun)","0"
"may'","taste | try | sample | evaluate | check out | testdrive","modal verb, transitive","0"
"mä<u>kxu</u>","interrupt | throw out of harmonious balance","verb, transitive","0"
"me<u>'em</u>","harmonious","adjective","0"
"me<u>fo</u>","they (two) | those two","personal pronouns","0"
"<u>me</u>i","wet","adjective","0"
"mei<u>ta</u>yo","wetlands","substantive (noun)","0"
"mek","empty | [metaphorically:] having no value","adjective","0"
"<u>mek</u>re","supplies","substantive (noun)","0"
"<u>mek</u>tseng","gap | breach","substantive (noun)","0"
"<u>me</u>lo","twice | two times","adverb","0"
"menge<u>nga</u>","you two | you ([dual]) | ([honorific/ceremonial])","personal pronouns","0"
"meoaunia<u>e</u>a","harmony | living at one with nature","substantive (noun)","0"
"<u>mer</u>ki","ground rack | ([for smoking meats])","substantive (noun)","0"
"mesrr<u>am</u>","the day before yesterday | two days ago","adverb","0"
"mesrr<u>ay</u>","the day after tomorrow | two days from now","adverb","0"
"metkayina","the Reef People Clan | [clan name]","proper noun","0"
"me<u>u</u>ia","honor | honour","substantive (noun)","0"
"me<u>u</u>ia si","honor | honour","verb, intransitiv","0"
"me<u>u</u>ianga'","honorable | honourable | honorably | honourably","adjective","0"
"me<u>yam</u>","hug | embrace | hold in one's arms","verb, transitive","0"
"meyp","weak","adjective","0"
"<u>meyp</u>tu","weakling | ([a person of weak physique or character])","substantive (noun)","0"
"mi","yet | still | as before","adverb","0"
"mik<u>lor</u>","pleasant sounding | beautiful sounding","adjective","0"
"<u>mik</u>tsang","earring","substantive (noun)","0"
"mik<u>vä'</u>","bad-sounding","adjective","0"
"<u>mik</u>yun","ear","substantive (noun)","0"
"mip","new","adjective","0"
"mì","in | on","adposition","0"
"mìfa","inside | inner side","substantive (noun)","0"
"mìfa","inside","adverb","0"
"mì<u>ftxe</u>le","in this regard | related to this matter","adverb","0"
"mì<u>kam</u>","between","adposition","0"
"mìn","turn | spin","verb, intransitiv","0"
"<u>mìn</u>yu","turner | twisted lily | [Pseudolilium contortum]","substantive (noun)","0"
"mì<u>so</u>","away ([position])","adverb","0"
"mll<u>'an</u>","accept","verb, transitive","0"
"mll<u>te</u>","agree","verb, intransitiv","0"
"mo","space | hollow | enclosed open area","substantive (noun)","0"
"mo a fngä'","rest room ([on Earth]) | ([enclosed private structure or room])","substantive (noun)","0"
"mo a hahaw","bedroom | [also:] snomo a hahaw","substantive (noun)","0"
"mo a yom","dining room","substantive (noun)","0"
"mo le<u>trr</u>trr","living room","substantive (noun)","0"
"mo<u>'a</u>ra","gathering place | [also:] name of the Disney Theme Park","substantive (noun)","0"
"<u>mo'</u>at","[female name]","proper noun","0"
"<u>mo</u>e","we (two) ([exclusive])","personal pronouns","0"
"<u>mo</u>he","we two | we ([exklusive, dual]) | ([honorific/ceremonial])","personal pronouns","0"
"mok","suggest","verb, transitive","0"
"<u>mok</u>ri","voice","substantive (noun)","0"
"<u>mo</u>mek","hollow ([not solid])","adjective","0"
"mong","depend on | rely on | trust for protection","verb, transitive","0"
"mo<u>wan</u>","pleasing | enjoyable ([physically, sexually])","adjective","0"
"mo<u>war</u>","advice | bit or piece of advice","substantive (noun)","0"
"mo<u>war si</u>","advise | give advice | ([used with] tsnì [for the subordinate clause])","verb, intransitiv","0"
"mo<u>war</u>siyu","advisor","substantive (noun)","0"
